,usage_date,percentage,total_usage_7_7_ccf,total_usage_7_7_therm,type,CREATED_DATETIME
138,2017-02-16,99.9,235493.27,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
139,2017-02-16,100.0,4060.7,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
140,2017-02-16,99.85,43906.04,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
141,2017-02-17,99.9,3871.46,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
142,2017-02-17,99.85,54458.44,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
143,2017-02-17,99.85,399901.88,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
144,2017-02-18,99.9,401726.45,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
145,2017-02-18,99.9,49865.24,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
146,2017-02-18,99.9,2183.56,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
147,2017-02-19,99.85,51060.67,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
148,2017-02-19,100.0,2173.48,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
149,2017-02-19,99.9,432387.9,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
150,2017-02-20,99.9,310224.31,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
151,2017-02-20,100.0,3987.3,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
152,2017-02-20,99.85,47794.77,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
153,2017-02-21,100.0,4170.46,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
154,2017-02-21,99.85,45820.36,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
155,2017-02-21,99.9,270745.22,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
156,2017-02-22,99.9,376902.6,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
157,2017-02-22,99.85,53447.0,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
158,2017-02-22,100.0,4877.14,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
159,2017-02-23,100.0,5491.68,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
160,2017-02-23,99.85,62980.86,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
161,2017-02-23,99.9,503857.32,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
162,2017-02-24,99.9,496364.04,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
163,2017-02-24,100.0,4517.24,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
164,2017-02-24,99.95,65274.46,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
165,2017-02-25,100.0,2402.92,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
166,2017-02-25,99.9,54351.45,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
167,2017-02-25,99.9,440219.65,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
168,2017-02-26,99.9,525692.23,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
169,2017-02-26,99.85,55970.82,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
170,2017-02-26,100.0,2412.36,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
171,2017-02-27,99.85,66620.4,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
172,2017-02-27,99.75,5405.56,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
173,2017-02-27,99.85,549519.78,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
174,2017-02-28,99.9,458598.1,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
175,2017-02-28,99.75,5501.8,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
176,2017-02-28,99.85,61177.54,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
177,2017-03-01,99.85,5037.64,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
178,2017-03-01,99.9,55831.98,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
179,2017-03-01,99.9,380501.34,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
180,2017-03-02,99.9,316730.05,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
181,2017-03-02,100.0,4501.48,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
182,2017-03-02,99.85,51208.74,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
183,2017-03-03,99.95,47997.99,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
184,2017-03-03,100.0,3267.12,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
185,2017-03-03,99.9,263169.14,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
186,2017-03-04,99.9,315999.51,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
187,2017-03-04,99.9,46439.57,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
188,2017-03-04,100.0,1720.04,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
189,2017-03-05,100.0,2233.44,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
190,2017-03-05,99.9,55018.03,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
191,2017-03-05,99.9,516145.08,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
192,2017-03-06,99.9,445108.09,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
193,2017-03-06,99.85,60565.72,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
194,2017-03-06,100.0,4591.52,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
195,2017-03-07,100.0,4743.72,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
196,2017-03-07,99.95,50036.8,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
197,2017-03-07,99.9,293830.39,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
198,2017-03-08,99.9,206376.54,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
199,2017-03-08,99.95,42542.17,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
200,2017-03-08,100.0,4241.1,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
201,2017-03-09,99.9,3721.68,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
202,2017-03-09,99.9,40392.36,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
203,2017-03-09,99.9,176774.58,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
204,2017-03-10,99.9,166661.96,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
205,2017-03-10,99.95,41478.88,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
206,2017-03-10,99.95,3372.7,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
207,2017-03-11,99.9,193146.23,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
208,2017-03-11,100.0,1977.02,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
209,2017-03-11,99.9,41171.71,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
210,2017-03-12,99.7,37249.98,0.0,COMMERCIAL     ,2022-09-15 00:11:30.797
211,2017-03-12,99.8,1872.6,0.0,INDUSTRIAL     ,2022-09-15 00:11:30.797
212,2017-03-12,99.9,189925.32,0.0,RESIDENTIAL,2022-09-15 00:11:30.797
